"","X","x","y","ID","Entity","Year","Time","Age","Sex","Disposition","TotL_ft","TotL_cm","SVL_cm","Weight_lbs","Weight_kg","Easting","Northing","GeneralLocation","Method","Additional_ID","County","Designation","Observer","Sentinel","EggCount","SizeEstimate","Percent_Hidden","SnakeTemp","AirTemp","ShadeTemp","GroundTemp","PavementTemp","BurowFeature","Microhabitat","Comments","Behavior","GlobalID","Breeding","Sector_I","Sector_II","Scout_2","Scout_3","Scout_4","Scout_5","Scout_Association","Date","timestamp"
"13",141,-81.6859342682402,26.0729271868859,"BP01-12MAR19","COSWFL",2019,1034,"Adult","Female","Alive",12.4,379,333,60.5,27.5,431220,2883941,"Marco Raw Water","Scout","","Collier","Development","IB, IE, KK","Johnny",48,"",NA,NA,NA,NA,NA,NA,"","sawpalmetto patch near edge of pond","Mating aggregation with 3 males including Johnny","Courting/Mating","{8BBD93B9-587F-4574-BCFC-43783F72B751}","YES","North","East","","","","","direct",2019-03-12,"2019-03-12 1034"
"14",142,-81.6859342682402,26.0729271868859,"BP02-12MAR19","COSWFL",2019,1034,"Adult","Male","Alive",8.9,270,235,16.1,7.3,431220,2883941,"Marco Raw Water","Scout","PYBI-58 Ca$h","Collier","Development","IB, IE, KK","Johnny",NA,"",NA,NA,NA,NA,NA,NA,"","sawpalmetto patch near edge of pond","Mating aggregation with 3 males including Johnny and a female","Courting/Mating","{C0FA1E8F-27C1-472D-89A0-65A521096333}","","North","East","","","","","direct",2019-03-12,"2019-03-12 1034"
"15",143,-81.6859342682402,26.0729271868859,"BP03-12MAR19","COSWFL",2019,1034,"Adult","Male","Alive",9.5,291,255,19.4,8.8,431220,2883941,"Marco Raw Water","Scout","PYBI-59 Dylan","Collier","Development","IB, IE, KK","Johnny",NA,"",NA,NA,NA,NA,NA,NA,"","sawpalmetto patch near edge of pond","Mating aggregation with 3 males including Johnny and a female","Courting/Mating","{9BFB01E7-AF2B-42F0-B1AB-1C3BB44BF905}","","North","East","","","","","direct",2019-03-12,"2019-03-12 1034"
"16",147,-81.6787869263332,26.0653313278286,"BP01-23OCT19","COSWFL",2019,1030,"Adult","Female","A",13.8,420,369,95.7,43.4,431931,2883100,"Winding Cypress","Scout","","Collier","Development","IB, IE, Associated Press","Johnny",55,"",NA,NA,NA,NA,NA,NA,"","","found in proximity to telemetered male (PYBI-21); coiled, shedding, excreted ~3kg of feces w/ deer","Coiled","{4CDCA5EB-3330-4DEF-AD92-7446EC83C416}","YES","North","East","","","","","direct",2019-10-23,"2019-10-23 1030"
"17",149,-81.6769213041331,26.0708068176232,"BP02-04DEC19","COSWFL",2019,1400,"Adult","Female","A",13.4,407,360,100.6,45.7,432120,2883702,"Winding Cypress","Scout","","Collier","Development","IB, IE, AlF","Johnny",65,"",NA,NA,NA,NA,NA,NA,"","hammock edge","Found in proximity to telemetered male (PYBI-21)","Courting/Mating","{F79D4650-BC5E-40AC-A21C-2B34FFE73F77}","YES","North","East","","","","","direct",2019-12-04,"2019-12-04 1400"
"18",152,-81.6084366441792,26.0359782930873,"BP01-27DEC19","COSWFL",2019,1210,"Adult","Female","A",11.9,363,323,55.6,25.2,438944,2879807,"E. Sentel","Scout","","Collier","Six L's Agricultural","IB, IE, AlF, AF","Ronin",44,"",NA,NA,NA,NA,NA,NA,"","agricultural retention","caught slithering away from large pad of matted grass, likely from mating activity","Courting/Mating","{DF8B2D73-2DAA-420E-8924-F10C02B1E549}","YES","North","East","","","","","direct",2019-12-27,"2019-12-27 1210"
"19",154,-81.6636553792866,26.1306455403903,"BP01-06JAN20","COSWFL",2020,1055,"Adult","Female","A",13.4,408,361,108.9,49.4,433481,2890323,"Willow Run Quarry / Belle Meade","Scout","PYBI-68 Willow","Collier","Belle Meade","IE, AlF","Caesar",NA,"",NA,NA,NA,NA,NA,NA,"","ecotone - willow / cabbage palm","caught basking nearby male in alligator flag ","Courting/Mating","{18624FD1-C49E-48B5-A92D-6A32E075DFE2}","","North","East","","","","","direct",2020-01-06,"2020-01-06 1055"
"20",155,-81.6397923027081,26.0439418528143,"BP01-13JAN20","COSWFL",2020,1308,"Adult","Female","A",10.4,317,278,32.1,14.6,435817,2880707,"Greenway Rd","Scout","","Collier","Six L's Agricultural Buffer"," IB, AlF","Franko",32,"",NA,NA,NA,NA,NA,NA,"","nursery","","Courting/Mating","{EC87CA8B-64F4-4079-B621-8D671A2660C1}","YES","North","East","","","","","direct",2020-01-13,"2020-01-13 1308"
"21",158,-81.6087634031728,26.0411067266068,"BP01-20JAN20","COSWFL",2020,1356,"Adult","Female","A",11.8,361,327,68,30.9,438921,2880376,"E. Sentel","Scout","","Collier","Six L's Agricultural"," IB, ICE, AlF","Ronin",55,"",NA,NA,NA,NA,NA,NA,"","","slight stumpy tail; caught in proximity to PYBI-34","","{52757E38-45D3-4931-8ABD-775992B4E797}","YES","North","East","","","","","direct",2020-01-20,"2020-01-20 1356"
"22",159,-81.6051760494278,26.0505896949415,"BP01-22JAN20 ","COSWFL",2020,1222,"Adult","Female","A",15.9,486,435,141.3,64.1,439274,2881410,"E. Sentel","Scout","","Collier","Six L's Agricultural"," IB, ICE, AlF ","Donnie",73,"",NA,NA,NA,NA,NA,NA,"","agricultural retention","","Courting/Mating","{F8D4079B-C68E-461A-800F-24119BF27100}","YES","North","East","","","","","indirect",2020-01-22,"2020-01-22 1222"
