"Snake_ID","season","id_season","pythons.removed","females","males","avg.total","avg.m","avg.f","ground","peak","search","sample.size","sample.size.core.A","sample.size.core.B","MCP_sqmi","MCP.core.A_sqmi","MCP.core.B_sqmi","overlap","overlap_core.A","overlap_core.B","trapdays.corrected.breeding.season","min.dist.mi.corrected","min.dist.core.A.mi.corrected","min.dist.core.B.mi.corrected"
"PYBI_81","2022-2023","PYBI_81_2022-2023",3,1,2,23.4,20.2,29.8,11,6,"5",19,11,9,3.39,0.7,0.49,0.01,0,0,176,9.64,4.09,3.57
"PYBI_81","2023-2024","PYBI_81_2023-2024",0,0,0,0,0,0,2,1,"",2,0,0,NA,NA,NA,NA,NA,NA,3,0.19,0,0
"PYBI_82","2020-2021","PYBI_82_2020-2021",0,0,0,0,0,0,7,6,"2",16,8,8,4.6,0.04,0.04,NA,NA,NA,76,9.58,2.4,2.4
"PYBI_82","2021-2022","PYBI_82_2021-2022",7,5,2,78.47,38,94.66,13,11,"7",24,8,9,7.44,0.12,0.13,0.69,0,0,175,16.6,1.17,1.77
"PYBI_82","2022-2023","PYBI_82_2022-2023",1,1,0,42.9,0,42.9,15,13,"10",24,10,10,8.69,0.09,0.09,0.61,0,0,166,15.64,2.44,2.46
"PYBI_82","2023-2024","PYBI_82_2023-2024",1,1,0,123.4,0,123.4,9,6,"5",17,10,9,4.37,0.05,0.11,0.39,0,0,122,9.58,1.7,1.94
"PYBI_82","2024-2025","PYBI_82_2024-2025",7,3,4,48.71,32.08,70.9,9,9,"9",14,10,10,4.89,1.61,1.81,0.38,0,0.11,141,7.54,4.97,5.28
"PYBI_83","2020-2021","PYBI_83_2020-2021",2,2,0,101.2,0,101.2,7,8,"3",17,8,8,5.28,0.02,0.02,NA,NA,NA,77,12.03,4.36,4.36
"PYBI_83","2021-2022","PYBI_83_2021-2022",4,2,2,39.25,35.4,43.1,16,15,"7",24,10,11,4.93,0.16,0.06,0.62,0.72,0.41,175,12.68,2.81,2.62
"PYBI_83","2022-2023","PYBI_83_2022-2023",0,0,0,0,0,0,12,9,"4",25,13,12,6.38,1.68,0.75,0.79,0.23,0.01,166,13.89,4.57,3.31
"PYBI_83","2023-2024","PYBI_83_2023-2024",2,1,1,41.55,28.2,54.9,7,4,"2",14,8,9,2.4,0.59,0.63,0.36,0.31,0.52,121,8.37,3.57,3.73
"PYBI_83","2024-2025","PYBI_83_2024-2025",2,1,1,40.55,27,54.1,10,5,"5",14,10,9,2.53,0.33,0.1,0.2,0.34,0.08,141,7.04,2.03,1.96
"PYBI_84","2020-2021","PYBI_84_2020-2021",0,0,0,0,0,0,3,3,"1",12,2,3,3.21,NA,0,NA,NA,NA,48,9.21,0.86,0.88
"PYBI_84","2021-2022","PYBI_84_2021-2022",6,4,2,55.6,26,70.4,11,7,"5",22,12,11,2.48,0.13,0.14,0.64,NA,0.17,149,13.16,2.61,2.07
"PYBI_84","2022-2023","PYBI_84_2022-2023",1,1,0,40.2,0,40.2,11,10,"5",18,7,7,5.75,1.24,0.61,0.69,0,0.05,166,16.05,4.3,3.34
"PYBI_84","2023-2024","PYBI_84_2023-2024",3,1,2,62.47,35.6,116.2,9,7,"5",17,9,8,2.71,0.29,0.13,0.37,0,0,120,7.77,1.95,1.26
"PYBI_84","2024-2025","PYBI_84_2024-2025",5,3,2,80.84,27.45,116.43,12,12,"9",14,9,9,0.78,0.12,0.11,0,0,0,141,5.37,2.48,2.45
"PYBI_85","2020-2021","PYBI_85_2020-2021",0,0,0,0,0,0,3,4,"2",12,2,3,0.6,NA,0,NA,NA,NA,49,4.1,0.33,0.54
"PYBI_85","2021-2022","PYBI_85_2021-2022",2,0,2,42.8,42.8,0,10,7,"4",21,11,9,1.9,0.31,0.14,1,NA,0.89,141,10.63,3.9,2.17
"PYBI_85","2022-2023","PYBI_85_2022-2023",1,1,0,59.4,0,59.4,9,6,"4",23,9,9,3.1,0.2,0.05,0.89,0.29,0.04,166,14.89,2.54,1.51
"PYBI_85","2023-2024","PYBI_85_2023-2024",6,1,5,40.08,30.7,87,5,3,"3",15,9,8,1.52,1.41,0.68,0.04,0,0,120,7.52,4.54,3.26
"PYBI_85","2024-2025","PYBI_85_2024-2025",3,2,1,44.43,27.8,52.75,9,6,"5",13,8,10,0.92,0.43,0.43,0.34,0.05,0.09,143,5.33,2.95,3.37
"PYBI_86","2021-2022","PYBI_86_2021-2022",0,0,0,0,0,0,6,3,"",13,5,3,27.92,0.17,0,NA,NA,NA,156,14.81,1.43,0.18
"PYBI_86","2022-2023","PYBI_86_2022-2023",0,0,0,0,0,0,1,1,"1",4,0,0,0.07,NA,NA,0,NA,NA,40,4.83,0,0
"PYBI_88","2021-2022","PYBI_88_2021-2022",0,0,0,0,0,0,10,5,"1",19,8,6,2.23,0.12,0.04,NA,NA,NA,149,8.23,2.68,2.23
"PYBI_88","2022-2023","PYBI_88_2022-2023",2,1,1,64.55,27.3,101.8,12,7,"2",15,10,9,1.74,0.22,0.22,0.23,0.01,0,149,7.47,2.4,2.31
"PYBI_90","2021-2022","PYBI_90_2021-2022",0,0,0,0,0,0,5,4,"",12,4,5,1.36,0.02,0.07,NA,NA,NA,69,4.72,0.49,1.34
"PYBI_90","2022-2023","PYBI_90_2022-2023",0,0,0,0,0,0,0,0,"",4,0,0,0.02,NA,NA,0,NA,NA,54,0.97,0,0
"PYBI_91","2021-2022","PYBI_91_2021-2022",1,0,1,16.8,16.8,0,7,7,"1",13,6,8,1.31,0.05,0.05,NA,NA,NA,54,5.67,1.33,1.66
"PYBI_91","2022-2023","PYBI_91_2022-2023",4,4,0,58.27,0,58.27,12,10,"6",22,12,11,1.6,1.02,0.53,0.11,0,0,153,9.79,4.14,3.41
"PYBI_91","2023-2024","PYBI_91_2023-2024",6,3,3,51.27,18.2,84.33,7,6,"5",12,7,7,2.67,1.07,0.24,0,0,0,107,6.73,1.59,2.67
"PYBI_91","2024-2025","PYBI_91_2024-2025",4,2,2,59.26,36.05,82.46,12,7,"6",15,9,9,0.56,0.05,0.02,0.02,0,0,128,2.83,0.85,0.68
"PYBI_92","2021-2022","PYBI_92_2021-2022",0,0,0,0,0,0,4,2,"1",9,4,4,1.07,0.07,0.07,NA,NA,NA,27,8.81,1.85,1.85
"PYBI_92","2022-2023","PYBI_92_2022-2023",3,2,1,37.27,25.5,43.15,12,9,"6",25,13,13,2.4,0.5,0.12,0.52,0.01,0,166,9.89,3.01,1.92
"PYBI_92","2023-2024","PYBI_92_2023-2024",0,0,0,0,0,0,8,7,"7",15,8,7,4.07,0.91,0.55,0.77,0.47,0,120,8.68,4.24,3.36
"PYBI_92","2024-2025","PYBI_92_2024-2025",2,1,1,71.85,35.9,107.8,10,7,"7",13,7,8,2.51,1.45,1.02,0.1,0.23,0.34,135,7.02,5.19,4.49
"PYBI_93","2021-2022","PYBI_93_2021-2022",0,0,0,0,0,0,2,1,"",8,3,3,1.89,0.16,0.16,NA,NA,NA,33,6,2.23,2.23
"PYBI_93","2022-2023","PYBI_93_2022-2023",1,1,0,104.4,0,104.4,15,10,"3",24,12,11,3.64,1.6,1.6,0.92,0.79,0.79,178,15.25,7.09,6.34
"PYBI_93","2023-2024","PYBI_93_2023-2024",1,1,0,116.8,0,116.8,11,7,"6",17,9,9,1.79,0.35,0.4,0.37,0.15,0.18,134,8.48,4.32,4.85
"PYBI_93","2024-2025","PYBI_93_2024-2025",0,0,0,0,0,0,14,7,"4",16,9,9,0.56,0.11,0.06,0.18,0,0,142,5.23,1.74,1.12
"PYBI_95","2021-2022","PYBI_95_2021-2022",0,0,0,0,0,0,3,0,"",8,1,3,2.53,NA,0,NA,NA,NA,34,5.4,0,0.19
"PYBI_95","2022-2023","PYBI_95_2022-2023",3,2,1,59.9,26.2,76.75,14,8,"6",24,12,11,6.71,0.74,0.67,0.94,NA,1,153,17.41,3.78,3.59
"PYBI_95","2023-2024","PYBI_95_2023-2024",3,2,1,51.03,17.4,67.85,7,4,"4",14,7,6,2.17,0.1,0.1,0.29,0.1,0.13,120,7.74,1.1,1.09
"PYBI_95","2024-2025","PYBI_95_2024-2025",1,1,0,79.3,0,79.3,5,4,"4",11,9,8,1.11,0.91,0.91,0,0,0,133,6.43,4.73,4.15
"PYBI_96","2021-2022","PYBI_96_2021-2022",0,0,0,0,0,0,2,1,"",9,1,3,1.65,NA,0,NA,NA,NA,21,4.5,0,0.13
"PYBI_96","2022-2023","PYBI_96_2022-2023",0,0,0,0,0,0,7,6,"6",20,10,8,6.8,4.94,3.44,1,NA,1,139,15.73,7.94,6.33
"PYBI_96","2023-2024","PYBI_96_2023-2024",2,1,1,40.15,26.6,53.7,6,6,"4",9,4,4,0.79,0,0,0.12,0,0,66,3.18,0.27,0.27
"PYBI_97","2021-2022","PYBI_97_2021-2022",0,0,0,0,0,0,1,0,"",6,0,0,1.35,NA,NA,NA,NA,NA,NA,3.85,0,0
"PYBI_97","2022-2023","PYBI_97_2022-2023",0,0,0,0,0,0,0,0,"",6,2,1,5.79,NA,NA,0,NA,NA,28,8.04,0.08,0
"PYBI_97","2023-2024","PYBI_97_2023-2024",2,1,1,46.8,37.4,56.2,4,3,"2",11,7,8,6.85,0.39,0.39,0.21,NA,NA,121,9.18,3.83,3.87
"PYBI_97","2024-2025","PYBI_97_2024-2025",0,0,0,0,0,0,7,5,"4",11,8,6,0.65,0.45,0.3,0,0,0,121,3.51,2.42,2.12
"PYBI_98","2022-2023","PYBI_98_2022-2023",6,2,4,47.1,19.52,102.25,10,8,"7",18,10,10,0.76,0.1,0.32,NA,NA,NA,97,6.76,1.98,2.95
"PYBI_98","2023-2024","PYBI_98_2023-2024",0,0,0,0,0,0,13,9,"8",16,8,7,0.44,0.03,0.03,0.38,0.14,0.05,140,3.14,0.76,0.79
"PYBI_98","2024-2025","PYBI_98_2024-2025",0,0,0,0,0,0,1,1,"",3,0,0,NA,NA,NA,NA,NA,NA,15,0.62,0,0
"PYBI_99","2022-2023","PYBI_99_2022-2023",0,0,0,0,0,0,5,1,"",12,7,7,3.6,0.24,0.24,NA,NA,NA,35,9.32,2.79,2.79
"PYBI_99","2023-2024","PYBI_99_2023-2024",1,1,0,136.7,0,136.7,11,8,"5",17,8,8,2.57,0.33,0.33,0.47,0,0,146,8.67,3.87,4.14
"PYBI_99","2024-2025","PYBI_99_2024-2025",4,3,1,68.18,12.5,86.74,8,6,"6",13,11,8,1.05,0.09,0.06,0.19,0,0,135,3.78,1.87,1.68
"PYBI_V5","2019-2020","PYBI_V5_2019-2020",0,0,0,0,0,0,13,7,"",21,13,10,2.21,1.13,0.5,NA,NA,NA,63,10.54,4.46,3.15
"PYBI_V5","2020-2021","PYBI_V5_2020-2021",2,2,0,36,0,36,3,3,"3",15,4,5,10.96,0.01,0.04,0.62,0,0,168,14.14,0.62,0.99
"PYBI_V5","2021-2022","PYBI_V5_2021-2022",0,0,0,0,0,0,5,4,"3",14,4,4,5.98,0.03,0.03,0.37,0,0.08,161,16.01,1.85,1.43
"PYBI_V5","2022-2023","PYBI_V5_2022-2023",1,1,0,32.9,0,32.9,1,1,"",12,4,3,7.69,0.01,0,0.76,0.18,0.05,134,14.74,1.8,1.74
"PYBI_V5","2023-2024","PYBI_V5_2023-2024",0,0,0,0,0,0,3,1,"1",11,5,6,3.52,0.19,0.24,0.13,0,0,120,6.97,2.12,3
