"Snake_ID","season","id_season","pythons.removed","females","males","avg.total","avg.m","avg.f","ground","peak","search","sample.size","sample.size.core.A","sample.size.core.B","MCP_sqmi","MCP.core.A_sqmi","MCP.core.B_sqmi","overlap","overlap_core.A","overlap_core.B","trapdays.corrected.breeding.season","min.dist.mi.corrected","min.dist.core.A.mi.corrected","min.dist.core.B.mi.corrected"
"PYBI_32","2018-2019","PYBI_32_2018-2019",1,1,0,124.9,0,124.9,4,3,"3",8,3,2,1.25,0,NA,0.13,0,NA,85,5.15,0.31,0.17
"PYBI_33","2016-2017","PYBI_33_2016-2017",0,0,0,0,0,0,11,9,"7",25,13,12,1.08,0.2,0.2,NA,NA,NA,72,4.65,1.86,1.64
"PYBI_33","2017-2018","PYBI_33_2017-2018",0,0,0,0,0,0,19,18,"17",30,8,11,11.72,0.09,0.14,0.02,0,0,173,12.2,0.34,0.5
"PYBI_33","2018-2019","PYBI_33_2018-2019",0,0,0,0,0,0,12,9,"10",32,13,12,20.95,3.5,2.89,0.41,0,0,163,28.06,8.93,7.05
"PYBI_33","2019-2020","PYBI_33_2019-2020",1,1,0,108.9,0,108.9,17,16,"6",35,16,14,19.41,3.15,3.15,0.51,0,0,177,21.98,8.38,7.16
"PYBI_33","2020-2021","PYBI_33_2020-2021",4,2,2,65.17,22.15,108.2,9,8,"6",22,8,9,1.47,0.03,0.06,0.06,0,0,168,11.08,1.21,1.84
"PYBI_33","2021-2022","PYBI_33_2021-2022",0,0,0,0,0,0,5,5,"2",10,5,2,3.98,1.48,NA,0.24,0,NA,68,7.21,3.67,0.58
"PYBI_34","2016-2017","PYBI_34_2016-2017",1,1,0,28.3,0,28.3,18,18,"16",37,16,18,9.68,1.25,1.15,NA,NA,NA,98,16.54,6.99,6.55
"PYBI_34","2017-2018","PYBI_34_2017-2018",0,0,0,0,0,0,22,12,"12",37,16,15,6.43,0.4,0.24,0.41,0,0,176,18.77,2.85,2.49
"PYBI_34","2018-2019","PYBI_34_2018-2019",0,0,0,0,0,0,22,18,"19",39,10,9,6.03,1.23,0.05,0.51,0,0,168,13.77,4.33,1.2
"PYBI_34","2019-2020","PYBI_34_2019-2020",4,2,2,37.38,12.95,61.8,27,20,"9",39,17,15,8.07,0.44,0.52,0.46,0.01,0,163,16.69,2.65,2.48
"PYBI_34","2020-2021","PYBI_34_2020-2021",6,3,3,52.3,17.5,87.1,13,9,"5",31,11,11,5.31,0.31,0.34,0.25,0,0,180,12.62,2.63,2.67
"PYBI_34","2021-2022","PYBI_34_2021-2022",4,2,2,74.35,31.3,117.4,16,8,"5",24,9,8,4.36,1.24,1.14,0.47,0,0,153,14.02,4.49,4.15
"PYBI_34","2022-2023","PYBI_34_2022-2023",4,3,1,98.35,11,127.47,12,8,"6",23,10,10,4.05,1.05,1.05,0,0,0,154,9.86,4.24,3.86
"PYBI_34","2023-2024","PYBI_34_2023-2024",2,2,0,108.75,0,108.75,12,9,"5",22,11,12,3.45,1,0.53,0.21,0,0,134,12.2,5.47,4.79
"PYBI_34","2024-2025","PYBI_34_2024-2025",1,1,0,140.5,0,140.5,15,9,"8",19,11,12,2.16,0.14,0.04,0.2,0,0,142,5.52,1.71,1.16
"PYBI_36","2016-2017","PYBI_36_2016-2017",0,0,0,0,0,0,2,2,"1",14,0,1,2.28,NA,NA,NA,NA,NA,8,6.22,0,0
"PYBI_36","2017-2018","PYBI_36_2017-2018",1,0,1,35.1,35.1,0,16,12,"12",18,4,2,1.04,0.02,NA,0,NA,NA,87,4.5,0.72,0.31
"PYBI_41","2017-2018","PYBI_41_2017-2018",0,0,0,0,0,0,13,8,"8",21,11,13,0.45,0.17,0.17,NA,NA,NA,74,5.54,2.11,2.36
"PYBI_41","2018-2019","PYBI_41_2018-2019",0,0,0,0,0,0,20,17,"17",29,15,14,4.76,1,0.27,0.56,0.31,0.23,158,11.05,4.42,2.6
"PYBI_43","2017-2018","PYBI_43_2017-2018",2,0,2,19.65,19.65,0,13,13,"12",26,11,13,0.52,0.07,0.07,NA,NA,NA,65,3.47,0.95,0.95
"PYBI_43","2018-2019","PYBI_43_2018-2019",2,1,1,48.55,18.6,78.5,38,27,"26",49,19,18,3.02,0.26,0.29,1,0,0,168,14.93,3.95,4.29
"PYBI_43","2019-2020","PYBI_43_2019-2020",0,0,0,0,0,0,10,8,"",9,0,0,0.48,NA,NA,0,NA,NA,36,2.44,0,0
"PYBI_43","2021-2022","PYBI_43_2021-2022",0,0,0,0,0,0,12,8,"5",24,10,9,0.9,0.29,0.29,NA,NA,NA,155,6.93,3.27,2.94
"PYBI_43","2022-2023","PYBI_43_2022-2023",2,2,0,117.7,0,117.7,9,5,"3",16,9,7,5.02,1.06,0.52,0.66,0,0,126,10.21,5.07,3.51
"PYBI_45","2017-2018","PYBI_45_2017-2018",0,0,0,0,0,0,5,3,"3",17,3,5,4.64,0.04,0.45,NA,NA,NA,42,8.88,1.73,2.26
"PYBI_45","2018-2019","PYBI_45_2018-2019",2,1,1,65.35,49.9,80.8,29,20,"20",46,21,21,4.08,1.06,1.06,0.53,0,0,158,21.44,7.18,7.37
"PYBI_45","2019-2020","PYBI_45_2019-2020",5,2,3,61.98,15.97,131,28,27,"8",37,13,12,1.81,0.22,0.6,0.28,0,0.02,158,8.7,1.62,2.87
"PYBI_45","2020-2021","PYBI_45_2020-2021",1,1,0,71.4,0,71.4,21,17,"10",29,12,10,1.95,0.95,0.81,0.37,0,0,163,10.99,6.37,4.82
"PYBI_45","2021-2022","PYBI_45_2021-2022",1,1,0,106.8,0,106.8,14,12,"4",24,12,12,1.19,0.39,0.42,0.25,0.01,0,161,7.74,3.16,3.13
"PYBI_45","2022-2023","PYBI_45_2022-2023",6,2,4,47.09,15.53,110.22,15,10,"4",19,11,9,2.22,0.65,0.48,0.16,0,0,179,6.59,2.86,2.29
"PYBI_45","2024-2025","PYBI_45_2024-2025",0,0,0,0,0,0,3,3,"1",5,4,5,2.51,0.37,2.51,NA,NA,NA,34,1.76,0.31,1.76
"PYBI_47","2017-2018","PYBI_47_2017-2018",0,0,0,0,0,0,0,0,"0",4,0,0,0.02,NA,NA,NA,NA,NA,NA,0.47,0,0
"PYBI_47","2018-2019","PYBI_47_2018-2019",3,2,1,85.13,30.2,112.6,31,17,"12",47,14,15,0.9,0.59,0.62,0,NA,NA,170,11.46,3.96,4.22
"PYBI_47","2019-2020","PYBI_47_2019-2020",3,3,0,58,0,58,15,8,"7",32,11,9,1.61,0.27,0.39,0.82,0,0.03,156,10.14,3.38,3.27
"PYBI_47","2020-2021","PYBI_47_2020-2021",1,1,0,88.6,0,88.6,18,13,"6",29,13,14,1.02,0.58,0.91,0.45,0,0.05,154,10.4,3.78,4.4
"PYBI_47","2021-2022","PYBI_47_2021-2022",0,0,0,0,0,0,9,6,"1",12,4,3,0.47,0.13,0.04,0.46,0.22,0.03,92,3.59,1.61,0.93
"PYBI_51","2018-2019","PYBI_51_2018-2019",3,1,2,28.8,17.75,50.9,15,10,"10",31,14,14,0.46,0.4,0.4,NA,NA,NA,99,7.73,3.78,4.29
"PYBI_51","2019-2020","PYBI_51_2019-2020",1,1,0,30.6,0,30.6,25,15,"9",32,16,11,0.59,0.51,0.08,0.9,0.83,0.14,183,8.7,4.31,2.01
"PYBI_51","2020-2021","PYBI_51_2020-2021",4,2,2,15.22,10.05,20.4,13,9,"6",24,7,8,2.16,0,0,0.44,0,0.01,153,6.54,0.3,0.19
"PYBI_51","2021-2022","PYBI_51_2021-2022",0,0,0,0,0,0,20,17,"1",26,12,11,1.24,0.02,0.08,0.17,0,0,164,5.81,0.63,0.86
"PYBI_51","2022-2023","PYBI_51_2022-2023",1,1,0,109.5,0,109.5,5,2,"1",6,0,0,0.25,NA,NA,0.01,NA,NA,56,2.52,0,0
"PYBI_52","2018-2019","PYBI_52_2018-2019",0,0,0,0,0,0,11,8,"4",28,10,9,1.33,0.02,0.02,NA,NA,NA,94,9.94,0.95,0.51
"PYBI_52","2019-2020","PYBI_52_2019-2020",1,1,0,76.7,0,76.7,18,11,"5",31,13,11,2.91,0.83,0.85,0.96,0,0,153,14.44,4.58,3.94
"PYBI_52","2020-2021","PYBI_52_2020-2021",4,2,2,32.45,18.55,46.35,9,6,"4",25,9,10,4.83,0.25,0.29,0.47,0,0,145,14.55,2,3.11
"PYBI_52","2021-2022","PYBI_52_2021-2022",4,1,3,38.8,16.97,104.3,17,13,"6",29,15,14,3.74,0.39,0.39,0.57,0,0,176,11.43,4.77,3.21
"PYBI_52","2022-2023","PYBI_52_2022-2023",1,1,0,107.6,0,107.6,16,10,"2",20,9,9,3.2,0.81,0.81,0.59,0.72,0.72,170,8.64,3.58,3.34
"PYBI_52","2023-2024","PYBI_52_2023-2024",0,0,0,0,0,0,7,3,"3",13,4,5,0.92,0.02,0.01,0.25,0,0,134,5.32,0.91,0.56
