"Snake_ID","season","pythons.removed","males","females","avg.total","avg.m","avg.f","ground","peak","search","MCP_sqmi","MCP.core.A_sqmi","MCP.core.B_sqmi","df.inactive.days","trapdays.corrected.breeding.season","min.dist.mi.corrected","min.dist.core.A.mi","min.dist.core.B.mi","sample.size","sample.size.core.A","sample.size.core.B","overlap","tracked_years"
"PYBI_05","2013-2014",0,0,0,0,0,0,5,1,"1",0.02,0,0,0,90,0.48,0.17,0,4,2,1,NA,NA
"PYBI_06-T","2013-2014",0,0,0,0,0,0,0,0,"0",0,0,0,0,3,0.1,0.1,0.1,2,2,2,NA,NA
"PYBI_06","2013-2014",0,0,0,0,0,0,20,18,"14",2.1,0.37,0.3,0,114,6.27,3,2.75,23,14,14,NA,NA
"PYBI_06","2014-2015",1,0,1,43.2,0,43.2,0,0,"0",0.1,0,0,0,95,2.48,0,0,3,1,1,NA,NA
"PYBI_07-T","2013-2014",0,0,0,0,0,0,0,0,"0",0.11,0,0,0,54,2.98,0.14,0.14,4,2,2,NA,NA
"PYBI_07","2013-2014",0,0,0,0,0,0,7,2,"2",1.27,0.01,0.02,0,66,4.45,0.27,0.56,11,3,4,NA,NA
"PYBI_07","2014-2015",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,28,0.3,0,0,2,0,0,NA,NA
"PYBI_08-T","2013-2014",0,0,0,0,0,0,0,0,"0",0,0,0,0,NA,0,0,0,1,1,1,NA,NA
"PYBI_08-T","2014-2015",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,0,0,0,1,0,0,NA,NA
"PYBI_08-T","2015-2016",0,0,0,0,0,0,0,0,"0",0,0,0,0,NA,0,0,0,1,1,1,NA,NA
"PYBI_08","2013-2014",1,0,1,27.7,0,27.7,12,9,"5",0.19,0,0.02,0,69,2.26,0.23,0.47,22,3,5,NA,NA
"PYBI_08","2014-2015",0,0,0,0,0,0,3,1,"1",1.88,0,0,0,141,11.12,0.22,0.22,12,2,3,NA,NA
"PYBI_08","2015-2016",0,0,0,0,0,0,21,1,"2",0.4,0.02,0.02,0,153,4.75,1.72,1.89,25,15,17,NA,NA
"PYBI_09-T","2015-2016",0,0,0,0,0,0,0,0,"0",0,0,0,0,31,1.31,1.31,1.31,2,2,2,NA,NA
"PYBI_09","2013-2014",0,0,0,0,0,0,10,10,"8",0.18,0.02,0.02,0,53,3.39,0.65,0.65,20,6,7,NA,NA
"PYBI_09","2014-2015",0,0,0,0,0,0,11,4,"3",0.44,0,0,0,123,6.39,0.34,0,24,5,4,NA,NA
"PYBI_09","2015-2016",2,2,0,22.75,22.75,0,25,7,"8",0.68,0.25,0.12,0,167,7.2,4.21,2.58,37,12,11,NA,NA
"PYBI_10-T","2014-2015",0,0,0,0,0,0,0,0,"0",0,NA,0,0,100,0.46,0,0,2,0,1,NA,NA
"PYBI_10-T","2016-2017",0,0,0,0,0,0,0,0,"0",0,0,NA,0,16,0.06,0,0,2,1,0,NA,NA
"PYBI_10-T","2017-2018",0,0,0,0,0,0,0,0,"0",0,NA,0,0,NA,0,0,0,1,0,1,NA,NA
"PYBI_10","2013-2014",0,0,0,0,0,0,0,0,"0",0.05,NA,NA,0,NA,0.8,0,0,7,0,0,NA,NA
"PYBI_10","2014-2015",1,1,0,36.2,36.2,0,13,7,"6",0.79,0.02,0.01,0,149,4.77,0.79,0.65,24,8,7,NA,NA
"PYBI_10","2015-2016",0,0,0,0,0,0,7,1,"1",1.3,0.01,0.01,0,162,8.32,0.62,0.62,25,4,4,NA,NA
"PYBI_10","2016-2017",0,0,0,0,0,0,9,6,"5",1.11,0.02,0.03,0,141,6.64,0.45,0.62,23,5,5,NA,NA
"PYBI_10","2017-2018",0,0,0,0,0,0,16,7,"8",0.24,0.03,0.03,0,162,2.78,0.7,0.8,20,9,9,NA,NA
"PYBI_100-T","2022-2023",0,0,0,0,0,0,0,0,"0",0.25,NA,NA,0,NA,1.46,0,0,3,0,0,NA,NA
"PYBI_100-T","2023-2024",0,0,0,0,0,0,0,0,"0",0,NA,0,0,NA,0,0,0,1,0,1,NA,NA
"PYBI_100-T","2024-2025",0,0,0,0,0,0,0,0,"0",0,0,0,0,69,1.95,1.95,1.95,2,2,2,NA,NA
"PYBI_100","2022-2023",0,0,0,0,0,0,4,4,"3",1.48,0.04,0.04,0,42,5.98,1.28,1.66,10,5,6,NA,NA
"PYBI_100","2023-2024",0,0,0,0,0,0,9,9,"5",1.14,0.37,0.1,0,113,5.58,2.6,1.2,14,9,7,NA,NA
"PYBI_100","2024-2025",4,2,2,58.12,16.05,100.2,9,6,"6",3.04,0.36,0.18,0,141,8.02,3.05,2.9,11,6,6,NA,NA
"PYBI_101-T","2022-2023",0,0,0,0,0,0,0,0,"0",0.35,0,0,0,NA,2.34,0,0,4,1,1,NA,NA
"PYBI_101-T","2023-2024",0,0,0,0,0,0,0,0,"0",0,0,NA,0,NA,0.57,0,0,2,1,0,NA,NA
"PYBI_101","2022-2023",0,0,0,0,0,0,3,2,"1",0.21,0,0,0,35,1.97,0.14,0.86,5,2,3,NA,NA
"PYBI_101","2023-2024",0,0,0,0,0,0,13,12,"8",1.51,0.56,0.49,0,140,5.88,3.64,3.01,14,9,8,NA,NA
"PYBI_101","2024-2025",1,0,1,98.4,0,98.4,10,8,"7",2.94,0.24,0.22,0,141,6.82,2.39,2.19,12,6,6,NA,NA
"PYBI_102-T","2022-2023",0,0,0,0,0,0,0,0,"0",0,NA,NA,0,NA,1.51,0,0,3,0,0,NA,NA
"PYBI_102-T","2023-2024",0,0,0,0,0,0,0,0,"0",0,0,0,0,NA,0,0,0,1,1,1,NA,NA
"PYBI_102","2022-2023",0,0,0,0,0,0,5,4,"2",0.2,0.05,0.06,0,48,2.66,1.05,1.44,9,5,6,NA,NA
"PYBI_102","2023-2024",1,0,1,139.5,0,139.5,12,10,"9",0.51,0.42,0.36,0,140,4.66,3.7,3.16,15,9,8,NA,NA
"PYBI_102","2024-2025",1,0,1,112.8,0,112.8,10,9,"7",0.66,0.1,0.11,0,141,5.87,2.2,2.4,13,8,7,NA,NA
